sequence_name,n_sequences_tips,alignment_length,crown_age,gamma_shape,prop_invariant,insertion_rate,deletion_rate,mean_insertion_length,mean_deletion_length,normalized_colless_index,gamma,best_BD_speciation_rate,best_BD_extinction_rate,best_BD_speciation_alpha,best_BD_extinction_alpha,best_BLINDLIN,indel_rate,percent_unique_topologies,likelihood_ess,n_samples,shared_homologies,homologies_reference,homologies_estimated,correctly_aligned_columns,aligned_columns_ref,singleton_insertion_ref,aligned_columns_est,singleton_insertion_est,sp_score,modeler,spfn,spfp,compression_naive,compression,tc,rf_distance,max_rf_distance,n_common_leaves,rfl_distance,wall_clock_s,best_BCSTDLIN,best_BLINDEXP,best_BEXPDLIN,best_BEXPDCST
seq_1_SCOPt4e2,10,81,2.623816271056155,1.3005273250025202,0.0150598869511076,0.0497342407934688,0.0932966262364516,2.7182988875323817,2.362126200106494,0.468501315095528,-3.8827322810535305,14.779099620713202,12.284217530523366,-0.3998200368813647,35.84222859913767,1.0,0.1430308670299205,39.133255,649.863841,7707,22986,23182,23132,76,83,"(9, 0)",83,"(11, 0)",0.9915451643516522,0.9936883970257652,0.0084548356483478,0.0063116029742348,1.0217391304347827,1.0217391304347827,0.9156626506024096,24,46,25,215.7935403432077,7200.250509023666,,,,
seq_2_SCOPt4e2,10,74,2.440962602746329,1.552846612088678,0.0434235729061746,0.1119158840822997,0.041122618974896,2.1016596688361364,3.412699202138037,0.2525808044867857,12.908884270523838,18.48934558148423,20.012127483515624,6.933804692539655,45.24810970248632,1.0,0.1530385030571958,36.249064,770.390373,8014,21014,21318,21170,95,104,"(27, 0)",105,"(27, 0)",0.9857397504456328,0.9926310817194144,0.0142602495543672,0.0073689182805857,0.9924812030075189,1.0076335877862594,0.9134615384615384,10,46,25,239.7410462244376,7200.2064571380615,,,,
seq_3_SCOPt4e2,10,24,2.497329295025654,1.3801146146191094,0.0355669344636416,0.0777997338216881,0.1092551906461691,1.405531240040654,1.2537005389572786,0.3387925597791986,-10.40227544369816,43.3421249425824,29.256250155353783,12.354338262706255,39.15945890027985,1.0,0.1870549244678572,22.291472,8729.551978,28881,2244,2322,2322,20,25,,25,,0.96640826873385,0.96640826873385,0.0335917312661498,0.0335917312661498,1.0,1.0,0.8,10,26,15,145.23071982362026,7200.197952032089,,,,
seq_4_SCOPt4e2,10,61,2.688195137767561,0.986185107106914,0.0066619246045732,0.0945905237605723,0.3735497523787873,1.717218740027216,1.663932096329828,0.3644682673505174,-11.453891503392596,20.463858176040304,17.37762184295697,7.003010528615303,22.270923618762502,1.0,0.4681402761393596,26.746681,2032.989268,17247,4457,4715,4678,52,70,"(2, 0)",71,"(2, 0)",0.9452810180275716,0.9527575887131252,0.0547189819724284,0.0472424112868747,1.0138888888888888,1.0138888888888888,0.7428571428571429,6,30,17,129.3161401587305,7200.240034103394,,,,
seq_5_SCOPt4e2,10,36,2.1219311485939043,1.3306607505832997,0.0083560616324856,0.1349796832140808,0.0727474148044944,1.5642929690599872,2.5531463028062182,0.2250490607113543,-0.5369738999151342,57.72525699223085,39.19336734169945,26.53992184609733,30.934683961537417,1.0,0.2077270980185752,99.974543,4123.200148,15713,6840,6840,6840,36,36,,36,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,18,36,20,162.9851179061705,7200.2405660152435,,,,
seq_1_SCOPt3e2,10,128,2.919258369833744,2.3785843504350073,0.0063725591757905,0.239580519634001,0.1759672714802663,2.338312042633778,2.934027515226025,0.1892994995919701,-38.78622544325008,3.286406863433288,22.45488220756669,0.0,13.047590550721416,,0.4155477911142674,0.030186,3160.215971,19877,3635,3959,3915,146,187,"(28, 0)",187,"(32, 0)",0.9181611518060117,0.9284802043422732,0.0818388481939883,0.0715197956577267,1.0138888888888888,1.0186046511627906,0.7807486631016043,4,14,9,29.23241883020188,7200.233070850372,1.0,0.0,,
seq_2_SCOPt3e2,10,95,2.0022496283012874,2.5521651529523273,0.0134300867972668,0.0678554597800997,0.0939775190282494,1.4574929888471089,1.7498166449648669,0.0982767397351635,1.39485613521261,7.2035325221860615,44.32892070492149,0.0,62.01361185497942,,0.1618329788083491,0.046826,9659.08499,44847,1541,1601,1641,85,101,"(2, 0)",97,"(2, 0)",0.962523422860712,0.9390615478366848,0.0374765771392879,0.060938452163315,0.9519230769230768,0.9611650485436892,0.8415841584158416,4,10,7,7.632891887208615,7200.203278064728,1.0,0.0,,
seq_3_SCOPt3e2,10,139,2.1581492556559647,1.7772126212221215,0.0077404298919517,0.1051528844690926,0.0792419236751321,4.005022140688251,5.100935436331356,0.1230701552648935,-61.22458834361028,10.648203713714242,56.689069906250666,0.0,68.35520962034416,,0.1843948081442248,7.586078,1723.376918,10717,12126,12291,12279,154,163,"(8, 0)",164,"(8, 0)",0.9865755430803028,0.9875397019301246,0.0134244569196972,0.0124602980698753,1.0058479532163742,1.0058479532163742,0.9447852760736196,6,24,14,20.385796664103456,7200.188935279846,1.0,0.0,,
seq_4_SCOPt3e2,10,78,2.594853125370639,2.777092029142569,0.0154099925346259,0.0588757248414798,0.1161738094255222,2.553731449630404,3.215369468347067,0.4891808642757216,-34.91044154582245,17.960003391452595,89.88431841546793,0.0,50.5157567297316,,0.1750495342670021,0.020853,15371.072301,52749,1587,1587,1587,78,78,"(1, 0)",78,"(1, 0)",1.0,1.0,0.0,0.0,1.0,1.0,1.0,8,10,7,7.480556261123996,7200.189373016357,1.0,0.0,,
seq_5_SCOPt3e2,10,128,2.3635528161465387,1.2082206782979308,0.0041098496999956,0.1108369377586512,0.1039454113757764,2.791961652471693,3.56815920480687,0.4429652542059446,-16.725562294020225,12.197318199659511,60.6697192304011,0.0,67.56592073346384,,0.2147823491344277,0.062279,1154.28853,14451,8419,8540,8500,144,152,"(13, 0)",154,"(13, 0)",0.9858313817330212,0.990470588235294,0.0141686182669789,0.0095294117647058,1.0060240963855422,1.0121212121212122,0.9473684210526316,4,20,12,100.8918042217385,7200.206126213074,1.0,0.0,,
