sequence_name,n_sequences_tips,alignment_length,crown_age,gamma_shape,prop_invariant,insertion_rate,deletion_rate,mean_insertion_length,mean_deletion_length,normalized_colless_index,gamma,best_BD_speciation_rate,best_BD_extinction_rate,best_BD_speciation_alpha,best_BD_extinction_alpha,best_BLINDLIN,indel_rate,percent_unique_topologies,likelihood_ess,n_samples,shared_homologies,homologies_reference,homologies_estimated,correctly_aligned_columns,aligned_columns_ref,singleton_insertion_ref,aligned_columns_est,singleton_insertion_est,sp_score,modeler,spfn,spfp,compression_naive,compression,tc,rf_distance,max_rf_distance,n_common_leaves,rfl_distance,wall_clock_s,best_BCSTDLIN,best_BLINDEXP,best_BEXPDLIN,best_BEXPDCST
seq_1_SCOPt4e2,10,81,2.623816271056155,1.3005273250025202,0.0150598869511076,0.0497342407934688,0.0932966262364516,2.7182988875323817,2.362126200106494,0.468501315095528,-3.8827322810535305,14.779099620713202,12.284217530523366,-0.3998200368813647,35.84222859913767,1.0,0.1430308670299205,0.313014,39.87505,30989,23010,23182,23134,78,83,"(9, 0)",83,"(11, 0)",0.992580450349409,0.9946399239215008,0.0074195496505909,0.0053600760784991,1.0217391304347827,1.0217391304347827,0.9397590361445785,14,46,25,39.809238216735494,7200.231514930725,,,,
seq_2_SCOPt4e2,10,74,2.440962602746329,1.552846612088678,0.0434235729061746,0.1119158840822997,0.041122618974896,2.1016596688361364,3.412699202138037,0.2525808044867857,12.908884270523838,18.48934558148423,20.012127483515624,6.933804692539655,45.24810970248632,1.0,0.1530385030571958,0.167104,42.634954,30520,21078,21318,21280,96,104,"(27, 0)",105,"(27, 0)",0.9887419082465522,0.9905075187969924,0.0112580917534478,0.0094924812030074,0.9924812030075189,1.0076335877862594,0.9230769230769232,6,46,25,104.940544152323,7200.193977117538,,,,
seq_3_SCOPt4e2,10,24,2.497329295025654,1.3801146146191094,0.0355669344636416,0.0777997338216881,0.1092551906461691,1.405531240040654,1.2537005389572786,0.3387925597791986,-10.40227544369816,43.3421249425824,29.256250155353783,12.354338262706255,39.15945890027985,1.0,0.1870549244678572,0.287084,224.421112,104499,2244,2322,2322,20,25,,25,,0.96640826873385,0.96640826873385,0.0335917312661498,0.0335917312661498,1.0,1.0,0.8,12,26,15,114.69681130143071,7200.193423748016,,,,
seq_4_SCOPt4e2,10,61,2.688195137767561,0.986185107106914,0.0066619246045732,0.0945905237605723,0.3735497523787873,1.717218740027216,1.663932096329828,0.3644682673505174,-11.453891503392596,20.463858176040304,17.37762184295697,7.003010528615303,22.270923618762502,1.0,0.4681402761393596,0.063746,74.476491,58043,3470,4715,3651,23,70,"(2, 0)",95,"(36, 0)",0.735949098621421,0.9504245412215832,0.264050901378579,0.0495754587784168,1.8194444444444444,1.8194444444444444,0.3285714285714285,18,30,17,46.77728349128339,7200.230939865112,,,,
seq_5_SCOPt4e2,10,36,2.1219311485939043,1.3306607505832997,0.0083560616324856,0.1349796832140808,0.0727474148044944,1.5642929690599872,2.5531463028062182,0.2250490607113543,-0.5369738999151342,57.72525699223085,39.19336734169945,26.53992184609733,30.934683961537417,1.0,0.2077270980185752,2.883431,118.6494,67385,6840,6840,6840,36,36,,36,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,14,36,20,25.289516784829452,7200.232629060745,,,,
seq_1_SCOPt3e2,10,128,2.919258369833744,2.3785843504350073,0.0063725591757905,0.239580519634001,0.1759672714802663,2.338312042633778,2.934027515226025,0.1892994995919701,-38.78622544325008,3.286406863433288,22.45488220756669,0.0,13.047590550721416,,0.4155477911142674,0.001934,179.618533,51704,3474,3959,3940,128,187,"(28, 0)",184,"(33, 0)",0.8774943167466532,0.8817258883248731,0.1225056832533467,0.1182741116751269,1.0046296296296295,1.009302325581395,0.6844919786096256,2,14,9,10.49819297544552,7200.2257380485535,1.0,0.0,,
seq_2_SCOPt3e2,10,95,2.0022496283012874,2.5521651529523273,0.0134300867972668,0.0678554597800997,0.0939775190282494,1.4574929888471089,1.7498166449648669,0.0982767397351635,1.39485613521261,7.2035325221860615,44.32892070492149,0.0,62.01361185497942,,0.1618329788083491,0.001121,597.832759,89197,1538,1601,1648,84,101,"(2, 0)",97,"(1, 0)",0.9606495940037476,0.933252427184466,0.0393504059962523,0.066747572815534,0.9423076923076924,0.9514563106796116,0.8316831683168316,2,10,7,3.7518613026445418,7200.198085069656,1.0,0.0,,
seq_3_SCOPt3e2,10,139,2.1581492556559647,1.7772126212221215,0.0077404298919517,0.1051528844690926,0.0792419236751321,4.005022140688251,5.100935436331356,0.1230701552648935,-61.22458834361028,10.648203713714242,56.689069906250666,0.0,68.35520962034416,,0.1843948081442248,0.01205,42.861913,33196,12078,12291,12270,153,163,"(8, 0)",164,"(8, 0)",0.9826702465218452,0.9843520782396088,0.0173297534781547,0.0156479217603912,1.0058479532163742,1.0058479532163742,0.9386503067484664,6,24,14,20.05508632383771,7200.173736810684,1.0,0.0,,
seq_4_SCOPt3e2,10,78,2.594853125370639,2.777092029142569,0.0154099925346259,0.0588757248414798,0.1161738094255222,2.553731449630404,3.215369468347067,0.4891808642757216,-34.91044154582245,17.960003391452595,89.88431841546793,0.0,50.5157567297316,,0.1750495342670021,0.019478,371.99198,102680,1587,1587,1587,78,78,"(1, 0)",78,"(1, 0)",1.0,1.0,0.0,0.0,1.0,1.0,1.0,4,10,7,3.661494290793444,7200.183079957962,1.0,0.0,,
seq_5_SCOPt3e2,10,128,2.3635528161465387,1.2082206782979308,0.0041098496999956,0.1108369377586512,0.1039454113757764,2.791961652471693,3.56815920480687,0.4429652542059446,-16.725562294020225,12.197318199659511,60.6697192304011,0.0,67.56592073346384,,0.2147823491344277,0.022559,51.285094,39895,8429,8540,8500,144,152,"(13, 0)",154,"(13, 0)",0.9870023419203748,0.9916470588235294,0.0129976580796252,0.0083529411764705,1.0060240963855422,1.0121212121212122,0.9473684210526316,6,20,12,46.430748240129105,6954.770643949509,1.0,0.0,,
