iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	tn93:kappaPur	tn93:kappaPyr	tn93:pi[A]	tn93:pi[C]	tn93:pi[G]	tn93:pi[T]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
0	-1.8085740066432247E3	3	249	5.305840635697726E0	1.55788372873634E-2	3	249	-1.8085740066432247E3	-2.6095398348754678E1	129	9	1.8763239086701058E0	2.276580274986548E0	6.363798868636614E-1	2.7229579222363453E-3	1.2375078312561519E-1	2.3714637208848705E-1	4.6427558202286834E-2	-2.6095398348754678E1	2.3192865791597422E-1	1.9457455788419048E-1	2.3192865791597422E-1	1.9457455788419048E-1	129	8.389414211791075E-1	9	-1.8477346395923514E3	-3.9160632949126786E1
1	-9.472779925636108E2	16	145	1.5019578634344485E1	1.232511283459832E-2	16	145	-9.472779925636108E2	-1.5575208050705982E2	168	89	6.914978395267343E-1	2.6489865851514924E0	1.0087966806894E-1	8.323767137465533E-1	2.2886229219705997E-2	4.385738896480072E-2	3.560534104246681E-2	-1.5575208050705982E2	1.8242198400073564E0	8.530328753538263E-1	1.8242198400073564E0	8.530328753538263E-1	168	4.676151726046277E-1	89	-1.1458586971233365E3	-1.985807045597256E2
2	-8.983865969512971E2	17	133	6.521455288227466E0	7.953723221329999E-2	17	133	-8.983865969512971E2	-1.361987799921312E2	159	74	1.8535512289474816E0	1.4059145904157717E0	1.0087966806894E-1	8.323767137465533E-1	2.2886229219705997E-2	4.385738896480072E-2	9.139957927523745E-2	-1.361987799921312E2	5.540853996353045E-1	5.341430009544942E-1	5.540853996353045E-1	5.341430009544942E-1	159	9.640084386018181E-1	74	-1.0715507011229395E3	-1.7316410417164238E2
3	-6.687003807137713E2	33	99	4.075833220363121E0	1.1418385674423681E-1	33	99	-6.687003807137713E2	-2.3653074334087745E2	190	134	1.8095394955746176E0	1.71502023566342E0	6.0919812459902356E-2	5.02660588284018E-1	2.8328700966944625E-1	1.5313258958663342E-1	2.612415735127701E-1	-2.3653074334087745E2	1.3638093906952142E0	5.67962691492459E-1	1.3638093906952142E0	5.67962691492459E-1	190	4.1645313147677837E-1	134	-9.537177245430299E2	-2.850173438292586E2
4	-6.517276708017216E2	28	113	4.490154167790652E0	5.139175564788717E-2	28	113	-6.517276708017216E2	-1.9658373917123578E2	182	119	1.8875571449221125E0	1.7937919250594196E0	1.7994909466773848E-1	4.3894789387147565E-1	2.4738011921732636E-1	1.3372289224345968E-1	8.74207483693567E-1	-1.9658373917123578E2	2.9856267114771726E0	1.3621613971422144E0	2.9856267114771726E0	1.3621613971422144E0	182	4.5623968726762554E-1	119	-9.045522801702709E2	-2.5282460936854937E2
5	-6.691648180813459E2	22	126	4.6937207690865685E0	3.993314613994186E-2	22	126	-6.691648180813459E2	-1.6639416712476074E2	174	102	9.587140995739988E-1	2.580224815753378E0	1.7994909466773848E-1	4.3894789387147565E-1	2.4738011921732636E-1	1.3372289224345968E-1	9.398126403375041E-1	-1.6639416712476074E2	3.9984632094371406E0	1.5987319607223478E0	3.9984632094371406E0	1.5987319607223478E0	174	3.9983660646146085E-1	102	-8.939551569394263E2	-2.2479033885808042E2
6	-6.778286887353565E2	19	129	4.721116293734694E0	4.050080297546791E-2	19	129	-6.778286887353565E2	-1.3858736887048826E2	163	77	1.0051216256495163E0	2.632110491972528E0	1.7994909466773848E-1	4.3894789387147565E-1	2.4738011921732636E-1	1.3372289224345968E-1	2.6006886905463816E-1	-1.3858736887048826E2	2.0782426733484947E0	1.5539695374466205E0	2.0782426733484947E0	1.5539695374466205E0	163	7.477324748330965E-1	77	-8.734343928404523E2	-1.9560570410509587E2
7	-6.792154218684927E2	18	134	4.0806383799473E0	6.088619341590638E-2	18	134	-6.792154218684927E2	-1.3469242672295073E2	160	71	1.3493874579998633E0	2.23860700943899E0	1.37614349376576E-1	4.616083740469251E-1	2.60151002425997E-1	1.4062627415050202E-1	1.3824958387304961E-1	-1.3469242672295073E2	2.7248730965710912E0	1.636386768034548E0	2.7248730965710912E0	1.636386768034548E0	160	6.005368727423432E-1	71	-8.648881211416456E2	-1.8567269927315286E2
8	-6.830314853386557E2	19	136	3.129878333726153E0	3.9896663091024916E-2	19	136	-6.830314853386557E2	-1.353711058480528E2	154	59	1.8007805363910563E0	3.8487477315924283E0	1.6949422290480862E-1	1.956595364545265E-1	4.1408785078616767E-1	2.2075838985449717E-1	2.0301624422820262E-2	-1.353711058480528E2	1.9484390922174029E0	1.7574220147682311E0	1.9484390922174029E0	1.7574220147682311E0	154	9.019640499863988E-1	59	-8.62993590228935E2	-1.799621048902793E2
9	-6.646295938342296E2	19	137	3.5910797947122575E0	6.867281747230812E-2	19	137	-6.646295938342296E2	-1.3714729976788408E2	155	62	1.2188417700468945E0	4.0029312621595485E0	1.6468696444433997E-1	2.1847254112341044E-1	4.023433364897302E-1	2.1449715794251936E-1	7.369148824505424E-2	-1.3714729976788408E2	1.6256258196990077E0	1.6416309899643722E0	1.6256258196990077E0	1.6416309899643722E0	155	1.009845543833899E0	62	-8.494591023654491E2	-1.8482950853121957E2
