Filename,n_sequences_tips,alignment_length,gamma_shape,prop_invariant,insertion_rate,deletion_rate,mean_insertion_length,mean_deletion_length,best_BD_speciation_rate,best_BD_extinction_rate,best_BD_speciation_alpha,best_BD_extinction_alpha,gamma,normalized_colless_index,bd_weight,best_BCSTDCST,best_BEXPDCST,best_BLINDCST,best_BCSTDEXP,best_BEXPDEXP,best_BLINDEXP,best_BCSTDLIN,best_BEXPDLIN,best_BLINDLIN,best_COALCST,best_COALEXP,best_COALLIN,best_COALSTEP,best_COALLOG,tree_length,crown_age
PF02361.fasta,15,269,3.077,0.0,0.247831474597274,0.297397769516729,4.42074074074074,5.52592592592593,4.92328953221246e-13,49.6289350105846,0.0,1.31835134272448,-0.750697573669523,0.318681318681319,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,18.76965,2.60362
PF02202.fasta,14,11,0.543,0.3309,0.0,0.0,1.0,1.0,2.2204460492503099e-16,0.107049196877273,0.0,0.0,-22.3654478938871,0.564102564102564,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.23229,2.82301
PF04744.fasta,11,389,1.9042,0.0,0.0934797849964945,0.210329516242113,1.69056603773585,2.11320754716981,1.30553890598813,5.564974512544e-08,0.0,0.0,-1.560199573888,0.244444444444444,0.9999881169994244,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.18489,1.30739
PF21088.fasta,35,45,2.2902,0.0,0.0634920634920635,0.126984126984127,2.26666666666667,2.83333333333333,58.5540548821374,85.5589674712529,16.7078505957445,27.5191140522843,12.6982407004128,0.258467023172905,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,32.04737,3.54055
PF03030.fasta,264,1633,0.774,0.0262,0.012293789084971,0.0109020393772384,14.1262920715392,17.657865089424,1.77635683940025e-15,23.0380264207751,0.0,0.0,-2556.2795842043,0.0481235306069138,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,101.28798,4.09844
PF11924.fasta,18,349,2.7044,0.0556,0.382043935052531,0.254695956701687,2.7182320441989,3.39779005524862,4.71018575958716,34.8853088754585,0.0,13.0541200833584,-31.0331048059975,0.433823529411765,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14.3494,3.39152
PF00209.fasta,15,638,1.0916,0.0281,0.135841170323929,0.114942528735632,7.50588235294118,9.38235294117647,13.6071734710383,75.7313267011323,0.0,55.9620234572748,-3.16510637543117,0.252747252747253,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8.43171,1.92754
PF00584.fasta,676,57,1.2504,0.0,0.0051904910204505,0.0103809820409011,1.0,1.01605504587156,12.9836285767579,34.4660512817038,0.0,6.8271717241021,-488.062348305757,0.0320518738322893,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,288.71524,4.82089
PF02313.fasta,23,117,2.2255,0.0507,0.111482720178372,0.185804533630621,1.0,1.22826086956522,9.55042490891428,142.786960768424,5.32343708590277,3.28387176483614,-3.48161199203939,0.125541125541126,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12.35082,1.8595
PF00230.fasta,12,295,1.3121,0.0292,0.225988700564972,0.367231638418079,6.51666666666667,8.14583333333333,2.2204460492503099e-16,0.117218429745428,0.0,0.0,-3.08112641177271,0.4,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8.68808,2.74234
PF00153.fasta,160,159,1.1595,0.0,0.0393081761006289,0.0432389937106918,4.92220858895706,6.15276073619632,95.1180330299535,123.058212656483,31.9214501051934,0.0,0.749678462767452,0.0816813947934082,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,126.60454,2.89054
PF04140.fasta,11,99,1.7034,0.0,0.183654729109275,0.550964187327824,1.28,1.6,3.53979046480028e-12,50.7043933710228,0.0,1.38773850219437,11.8992406425911,0.8,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8.59684,3.83029
PF03083.fasta,20,90,1.9972,0.0099,0.111111111111111,0.0555555555555556,1.12820512820513,1.41025641025641,2.2204460492503099e-16,0.112588438121618,0.0,0.0,-2.51935594051552,0.280701754385965,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15.02391,2.82381
PF05115.fasta,19,32,1.7545,0.0517,0.164473684210526,0.328947368421053,1.0,1.21739130434783,4.44089209850063e-16,108.400582686014,0.0,2.9123412230743,-49.8097710801511,0.444444444444444,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.89065,1.71838
PF03515.fasta,5,415,1.9788,0.0,0.771084337349398,0.771084337349398,7.37230769230769,9.21538461538461,1.11022302462516e-16,0.314369018141544,0.0,0.0,-0.983628291754002,1.0,0.9999999999573692,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.51171,1.93304
